file,PWV_kg/m^2,z_at_50pct_m,T_antenna,sigma_T,N_used
98121115_geop5000.parquet,1.9182074363091188,6334.589103645729,[10.48392151],0.010763750964596643,4516
98121123_geop5000.parquet,2.8195532962178067,6406.584357252451,[14.84826795],0.012448291004297837,3461
98121205_geop5000.parquet,1.6221080762603755,5797.933801417296,[8.69116601],0.006661882524545963,291
99021718_geop5000.parquet,5.502131547888447,5912.8492959757705,[29.70185546],0.012298858502937077,3380
99030415_geop5000.parquet,5.004996611268791,5915.678645786351,[27.15660967],0.014273800552989975,3135
99030615_geop5000.parquet,5.818347202137539,5782.875180978566,[31.88800582],0.014864641208536441,3706
99030915_geop5000.parquet,4.513875933156032,5695.150513692922,[24.9466412],0.013347007372257103,3407
99031018_geop5000.parquet,7.289802287785294,6091.1594193113815,[38.38520801],0.020976980707681475,4038
99031415_geop5000.parquet,1.801604465515173,5504.485940403225,[10.96766075],0.0067154117621103715,4750
99110319_geop5000.parquet,1.4234928123226496,6393.379059270748,[7.84916713],0.010292210544424259,1749
99110402_geop5000.parquet,1.888453728359007,5553.941114188113,[11.73057413],0.005587148105874392,3718
99110409_geop5000.parquet,0.7983155059586597,5328.4157815617755,[4.68116451],0.001777000557169745,128
99110410_geop5000.parquet,0.7253616732774635,5318.7442699068115,[4.29314948],0.0017180321468521897,209
99110412_geop5000.parquet,1.013541594620365,5847.444587081885,[6.37937212],0.006859659187926451,2707
99110500_geop5000.parquet,1.4299892934992697,5971.848895003682,[8.73434277],0.00771332636777412,2718
99110510_geop5000.parquet,0.5838616993005001,5992.2711760207185,[4.26100431],0.0056870657714773055,3251
99110516_geop5000.parquet,0.8722981705020035,6240.858139268103,[5.56485541],0.006502031183546114,3951
99110518_geop5000.parquet,2.2348068429217127,6073.77904733514,[12.16760792],0.010926380763602323,5160
99110601_geop5000.parquet,2.8342146628627503,6168.930854076448,[15.1068845],0.013188253291208152,4435
99110604_geop5000.parquet,2.463332448670433,6185.0992717954605,[13.39276831],0.011501213722976154,3941
99110609_geop5000.parquet,2.7254080793797106,5997.959122298148,[14.79765348],0.010701733920034186,4165
99110612_geop5000.parquet,2.0604940909112526,5970.065265223541,[11.49355214],0.008889584992937223,3231
99110618_geop5000.parquet,1.9372848299667134,5733.522511102365,[11.17540233],0.00812135048913483,3923
99110701_geop5000.parquet,1.570296290272203,5532.611284409694,[9.80552971],0.005596156698313222,3187
99110704_geop5000.parquet,1.0413358173930922,5349.9720542000205,[6.93610551],0.005377103825537839,3254
99110710_geop5000.parquet,1.12198173887266,5573.536110280453,[7.1788393],0.0055668512741832285,3914
99110712_geop5000.parquet,0.49465935064656325,5881.030561036106,[3.92213543],0.00493355971588785,4051
99110718_geop5000.parquet,1.1333043054884766,6374.602405924848,[6.44489291],0.009891507859727595,1778
99110719_geop5000.parquet,0.7037811421775799,5977.135699617842,[4.90866264],0.005719031206532613,3328
99110800_geop5000.parquet,1.032315099964274,5435.898860007969,[6.71192823],0.003331455641833627,1164
99110804_geop5000.parquet,0.5202579747543262,5239.24816894441,[4.3356586],0.0029723224986516646,5411
99110809_geop5000.parquet,0.4492733291014379,5489.975677611317,[3.84030247],0.0028300182528979193,5458
99110813_geop5000.parquet,0.33362266242502314,5831.040571675851,[3.18316632],0.003300945587074016,4479
99110819_geop5000.parquet,0.33853633781898074,5794.06929764739,[3.17519898],0.0028479098155053074,3142
99110913_geop5000.parquet,0.24616351951946847,7185.313773310994,[2.47648609],0.006339072514758588,2736
99110915_geop5000.parquet,0.32449794542188,5638.087624071962,[3.18648413],0.0029139747716558804,3437
99110918_geop5000.parquet,0.7726933801997997,5831.538012795572,[5.38597432],0.004887514561114292,3391
99111000_geop5000.parquet,1.0504554512798971,5756.167214980084,[6.60732988],0.005170835394662959,1507
99111004_geop5000.parquet,0.8046044702941991,5403.605620152469,[5.79016662],0.00396056158239565,3924
99111009_geop5000.parquet,0.5690722115446026,5334.51301720201,[4.46864093],0.0037657259076239276,2881
99111012_geop5000.parquet,0.26999855926599026,5717.961694085133,[2.86403261],0.0032465458627803675,3698
99111018_geop5000.parquet,1.0521411100828468,5948.456317156019,[6.58323056],0.007268224547394664,2954
99111113_geop5000.parquet,0.4117709838948181,5325.249199578548,[3.35247347],0.002909265036846204,2933
99111214_geop5000.parquet,0.24977131949010306,6479.33666999487,[2.70996715],0.004522716480389541,3222
