file,PWV_kg/m^2,z_at_50pct_m,T_antenna,sigma_T,N_used
99110518_geop5000.parquet,2.2348068429217127,6073.77904733514,[12.04746476],0.013477169057076332,5160
99110601_geop5000.parquet,2.8342146628627503,6168.930854076448,[14.78938505],0.022575454814354398,4435
99110604_geop5000.parquet,2.463332448670433,6185.0992717954605,[13.27137098],0.018884539821164018,3941
99110609_geop5000.parquet,2.7254080793797106,5997.959122298148,[14.6096514],0.01917503582913593,4165
99110612_geop5000.parquet,2.0604940909112526,5970.065265223541,[11.38192835],0.013200713220784283,3231
99110618_geop5000.parquet,1.9372848299667134,5733.522511102365,[11.05470392],0.008411981397183636,3923
99110701_geop5000.parquet,1.570296290272203,5532.611284409694,[9.71424924],0.005846026592118522,3187
99110704_geop5000.parquet,1.0413358173930922,5349.9720542000205,[6.81184642],0.0036081822631093374,3254
99110710_geop5000.parquet,1.12198173887266,5573.536110280453,[7.09626902],0.005370294808979179,3914
99110712_geop5000.parquet,0.49465935064656325,5881.030561036106,[3.87178669],0.003067898122027724,4051
99110718_geop5000.parquet,1.1333043054884766,6374.602405924848,[6.32810526],0.009657438619202959,1778
99110719_geop5000.parquet,0.7037811421775799,5977.135699617842,[4.86511754],0.003922593333571949,3328
99110800_geop5000.parquet,1.032315099964274,5435.898860007969,[6.66599669],0.003858094499529778,1164
99110804_geop5000.parquet,0.5202579747543262,5239.24816894441,[4.2782697],0.0012100712533403644,5411
99110809_geop5000.parquet,0.4492733291014379,5489.975677611317,[3.80283666],0.001451084815297723,5458
99110813_geop5000.parquet,0.33362266242502314,5831.040571675851,[3.15906329],0.001502628480244367,4479
99110819_geop5000.parquet,0.33853633781898074,5794.06929764739,[3.15413051],0.0015214475665520648,3142
99110913_geop5000.parquet,0.24616351951946847,7185.313773310994,[2.41177165],0.0037730433625133976,2736
99110915_geop5000.parquet,0.32449794542188,5638.087624071962,[3.1717405],0.0014446808835199723,3437
99110918_geop5000.parquet,0.7726933801997997,5831.538012795572,[5.36363808],0.0040156910683719444,3391
99111000_geop5000.parquet,1.0504554512798971,5756.167214980084,[6.56220683],0.006384343961542841,1507
99111004_geop5000.parquet,0.8046044702941991,5403.605620152469,[5.72854551],0.0027837021406795863,3924
99111009_geop5000.parquet,0.5690722115446026,5334.51301720201,[4.39377431],0.0018234494020038792,2881
99111012_geop5000.parquet,0.26999855926599026,5717.961694085133,[2.82541411],0.001300260222827302,3698
99111018_geop5000.parquet,1.0521411100828468,5948.456317156019,[6.5255081],0.005315406006403339,2954
99111113_geop5000.parquet,0.4117709838948181,5325.249199578548,[3.30281021],0.00125102330150312,2933
99111214_geop5000.parquet,0.24977131949010306,6479.33666999487,[2.68798442],0.0019943589650330837,3222
