filename,RMSE_K,Max_Err_K
99110601_geop5000.parquet,0.0019776507572046476,0.0029302863313008937
99110604_geop5000.parquet,0.005516512429077156,0.009449994472354145
99110609_geop5000.parquet,0.003660188513192096,0.0043504736726222015
99110612_geop5000.parquet,0.005335529476792788,0.007242666441854839
99110618_geop5000.parquet,0.006846329057345381,0.016849523488781992
99110701_geop5000.parquet,0.010902724694850879,0.03774735855274272
99110704_geop5000.parquet,0.005671104132709329,0.02373936616469094
99110710_geop5000.parquet,0.006420428339695157,0.024115798135706037
99110712_geop5000.parquet,0.0029065038833530053,0.009842981645181922
99110718_geop5000.parquet,0.0007649168934747669,0.001345035522399833
99110719_geop5000.parquet,0.008786906655045255,0.011719512349741279
99110804_geop5000.parquet,0.008627597960671479,0.030748107520751106
99110809_geop5000.parquet,0.008568487857781559,0.02985062870675681
99110813_geop5000.parquet,0.00678412817145364,0.010423750928562
99110819_geop5000.parquet,0.00856791567516738,0.019841181544786514
99110915_geop5000.parquet,0.012399721130077094,0.03434757637929342
99110918_geop5000.parquet,0.010264561713733196,0.017694463559884938
99111000_geop5000.parquet,0.009673991749933603,0.018073988787995342
99111004_geop5000.parquet,0.014877132112086482,0.052700879035495724
99111009_geop5000.parquet,0.007975481843004275,0.028762457892466606
99111012_geop5000.parquet,0.004240334079289324,0.014442952414097793
99111018_geop5000.parquet,0.006285310556652533,0.008020195898761465
99111214_geop5000.parquet,0.0022809412817240576,0.0046173915562774115
