filename,T_sky_K,Transmission
98120915_geop5000.parquet,151.89148555122802,0.4119360169093941
98120923_geop5000.parquet,155.329497367023,0.396198454590192
98121015_geop5000.parquet,150.91820676549906,0.4169612738698517
98121023_geop5000.parquet,153.32124047781474,0.4054967620525354
98121105_geop5000.parquet,151.8961479759347,0.41265141295618896
98121115_geop5000.parquet,152.25981355468662,0.4142079026214721
98121123_geop5000.parquet,154.27291256908669,0.4036332693770229
99021718_geop5000.parquet,159.23012591022984,0.3899616693687021
99030415_geop5000.parquet,157.48271932618798,0.39784278006487345
99030615_geop5000.parquet,159.5211533028009,0.3910486180591805
99030915_geop5000.parquet,156.63172542812896,0.4037467112810604
99031018_geop5000.parquet,161.5124043477407,0.384643551872881
99031415_geop5000.parquet,152.5453711150599,0.4110722163176859
99110319_geop5000.parquet,151.8189263412505,0.4063305266376077
99110402_geop5000.parquet,153.29060215022605,0.39790733408611034
99110412_geop5000.parquet,152.29832172902263,0.3959368393912273
99110500_geop5000.parquet,153.1409898568606,0.3950551728505561
99110510_geop5000.parquet,150.98060776532927,0.40969585015882054
99110516_geop5000.parquet,152.16089970941627,0.4064045274706537
99110518_geop5000.parquet,153.93228704130917,0.40171046174974284
99110601_geop5000.parquet,155.6207618041996,0.3932815664522134
99110604_geop5000.parquet,155.28907060374794,0.392618778291258
99110609_geop5000.parquet,155.70373548206283,0.3899364395288364
99110612_geop5000.parquet,153.85744839463536,0.40016867799543887
99110618_geop5000.parquet,154.07015827277232,0.39964350024212747
99110701_geop5000.parquet,154.0278034238092,0.39614945446101496
99110704_geop5000.parquet,153.12294626390215,0.3982669201624419
99110710_geop5000.parquet,153.28075077668234,0.39637473546986796
99110712_geop5000.parquet,152.40625872568228,0.4011989000593543
99110718_geop5000.parquet,152.10746459939102,0.4051517468243379
99110719_geop5000.parquet,151.56052678370048,0.40654430486687315
99110804_geop5000.parquet,152.17706751960816,0.3993122633163554
99110809_geop5000.parquet,151.77548725749784,0.4000510142464468
99110813_geop5000.parquet,151.46563603418403,0.4024277377333484
99110819_geop5000.parquet,151.0431637944498,0.4073747077556229
